personID,date,deviceID,zoneID,gymID,specialNotes,serviceType
439,2025-02-17 13:32:49,473,7,196,Ordered replacement parts,Upgrade
669,2025-02-15 13:24:15,1033,6,271,Cleared dust accumulation,Urgent Repair
412,2024-08-29 13:12:06,103,8,178,Upgraded firmware,Maintenance
427,2025-02-27 09:55:36,341,5,35,Performed routine checkup,Urgent Repair
616,2025-02-05 12:31:05,475,5,144,Cleared dust accumulation,Upgrade
601,2024-08-22 17:34:45,781,3,148,Performed routine checkup,Maintenance
500,2024-05-30 15:22:01,1241,7,215,Replaced faulty part,Inspection
545,2024-05-11 03:55:29,349,7,370,Ordered replacement parts,Upgrade
698,2024-05-01 05:10:48,1139,9,189,Lubricated moving parts,Urgent Repair
667,2024-09-06 00:26:05,1443,7,52,Minor fix only,Replacement
593,2024-12-03 18:15:51,654,9,72,Cleared dust accumulation,Maintenance
438,2024-06-13 20:05:14,1023,10,37,Replaced faulty part,Upgrade
544,2024-11-14 06:04:23,1339,8,398,Adjusted alignment,Maintenance
659,2025-03-24 13:31:35,968,7,378,Lubricated moving parts,Maintenance
625,2025-02-26 14:17:20,754,8,238,Performed routine checkup,Replacement
690,2024-08-18 09:41:44,498,2,83,Detailed inspection completed,Urgent Repair
512,2024-09-15 07:54:23,1468,6,341,Adjusted alignment,Upgrade
645,2024-06-05 03:47:13,538,9,184,Ordered replacement parts,Urgent Repair
557,2024-10-24 09:17:07,460,2,48,Performed routine checkup,Replacement
610,2025-01-13 20:02:08,170,8,32,Found worn cable,Upgrade
450,2025-03-18 07:52:57,1085,6,187,Found worn cable,Maintenance
774,2024-05-14 00:23:44,592,1,324,Minor fix only,Replacement
700,2025-01-29 12:13:54,335,6,1,Adjusted alignment,Inspection
440,2024-07-01 04:05:47,1084,4,237,Adjusted alignment,Inspection
425,2024-12-16 19:05:46,769,9,62,Found worn cable,Upgrade
668,2024-08-22 22:52:57,1356,9,28,Replaced faulty part,Inspection
444,2024-08-16 00:39:07,163,1,158,Minor fix only,Replacement
610,2024-09-02 05:05:10,1172,8,229,Lubricated moving parts,Inspection
528,2024-08-23 08:14:15,1282,9,284,Found worn cable,Inspection
681,2025-02-02 18:51:39,975,7,85,Upgraded firmware,Upgrade
500,2024-05-13 04:14:42,884,5,212,Replaced faulty part,Urgent Repair
614,2024-12-22 05:08:00,16,8,105,Adjusted alignment,Replacement
565,2024-10-10 00:50:05,843,7,19,Lubricated moving parts,Upgrade
661,2024-11-09 19:41:43,1077,6,264,Replaced faulty part,Maintenance
708,2024-07-04 19:10:02,1267,7,265,Lubricated moving parts,Replacement
782,2024-08-02 21:23:30,1196,10,202,Replaced faulty part,Urgent Repair
548,2024-05-04 09:36:37,1257,8,23,Upgraded firmware,Inspection
578,2024-04-05 19:18:20,1256,8,23,Lubricated moving parts,Maintenance
412,2025-03-24 23:35:54,465,6,208,Replaced faulty part,Maintenance
760,2024-09-01 02:43:27,718,5,266,Ordered replacement parts,Replacement
753,2024-07-06 00:28:21,776,6,300,Replaced faulty part,Upgrade
619,2024-11-30 08:28:31,1303,2,87,Ordered replacement parts,Replacement
557,2024-10-04 08:39:37,1338,2,93,Performed routine checkup,Upgrade
782,2025-02-18 16:48:29,829,3,192,Minor fix only,Replacement
641,2024-10-05 01:12:42,263,1,52,Lubricated moving parts,Inspection
583,2024-08-25 14:32:18,1204,9,116,Cleared dust accumulation,Inspection
766,2024-05-11 17:10:57,1042,9,299,Cleared dust accumulation,Upgrade
416,2024-06-20 03:07:59,1381,7,279,Found worn cable,Inspection
545,2025-01-28 14:36:53,843,7,19,Adjusted alignment,Replacement
709,2024-12-12 16:19:33,745,5,105,Adjusted alignment,Replacement
515,2025-03-02 06:52:18,50,5,288,Minor fix only,Replacement
484,2025-01-18 03:21:38,346,5,299,Lubricated moving parts,Maintenance
444,2024-05-21 00:18:03,1431,4,149,Cleared dust accumulation,Replacement
403,2025-01-18 08:34:00,1006,8,301,Performed routine checkup,Urgent Repair
725,2024-10-26 02:35:58,834,9,327,Adjusted alignment,Upgrade
421,2024-12-14 01:17:39,1176,2,230,Upgraded firmware,Maintenance
479,2025-02-18 19:04:15,1198,2,185,Cleared dust accumulation,Maintenance
624,2024-10-23 18:12:26,1335,9,175,Upgraded firmware,Upgrade
450,2024-06-11 01:15:09,99,1,242,Detailed inspection completed,Inspection
648,2024-10-18 06:14:44,1279,3,139,Adjusted alignment,Replacement
422,2025-02-04 11:29:07,1313,10,255,Lubricated moving parts,Inspection
781,2025-02-25 02:46:44,1306,7,41,Minor fix only,Urgent Repair
441,2024-07-12 09:39:54,169,3,170,Detailed inspection completed,Urgent Repair
674,2024-12-19 02:11:26,1462,6,176,Ordered replacement parts,Urgent Repair
408,2025-02-28 17:54:59,813,4,137,Detailed inspection completed,Inspection
558,2025-01-10 02:48:20,924,7,77,Lubricated moving parts,Inspection
588,2024-08-05 00:28:40,587,10,312,Lubricated moving parts,Maintenance
794,2024-04-23 20:28:00,561,7,286,Adjusted alignment,Replacement
761,2025-01-31 22:17:33,759,10,247,Upgraded firmware,Urgent Repair
690,2024-09-14 03:10:56,1233,1,166,Replaced faulty part,Upgrade
458,2024-05-02 12:34:35,656,2,132,Lubricated moving parts,Replacement
468,2024-08-10 23:12:10,785,5,86,Lubricated moving parts,Maintenance
722,2024-08-22 13:49:39,797,6,5,Ordered replacement parts,Replacement
497,2024-07-02 00:42:26,240,5,15,Found worn cable,Urgent Repair
757,2024-11-11 16:58:33,707,1,29,Replaced faulty part,Urgent Repair
609,2024-09-24 11:00:17,465,6,208,Adjusted alignment,Urgent Repair
457,2024-09-15 23:50:56,264,3,253,Detailed inspection completed,Replacement
585,2025-01-25 14:15:48,1437,1,184,Adjusted alignment,Replacement
469,2025-01-28 01:38:24,1141,8,140,Adjusted alignment,Urgent Repair
592,2024-05-21 08:26:48,1223,6,335,Ordered replacement parts,Maintenance
481,2025-03-05 08:02:36,782,6,113,Adjusted alignment,Urgent Repair
530,2024-10-24 02:58:38,1239,10,32,Performed routine checkup,Upgrade
518,2024-08-17 14:53:04,248,1,152,Minor fix only,Urgent Repair
707,2024-07-25 04:43:51,494,3,206,Lubricated moving parts,Upgrade
479,2024-12-02 16:33:33,722,2,314,Replaced faulty part,Maintenance
797,2024-10-24 10:10:28,785,5,86,Upgraded firmware,Upgrade
449,2024-04-09 22:38:24,167,3,170,Minor fix only,Replacement
594,2024-07-10 03:36:08,675,2,232,Lubricated moving parts,Upgrade
690,2024-09-30 09:43:18,431,7,231,Ordered replacement parts,Replacement
798,2024-11-14 21:05:11,1028,5,165,Detailed inspection completed,Maintenance
780,2024-12-16 18:06:35,249,1,152,Detailed inspection completed,Upgrade
750,2024-09-08 15:49:05,491,3,102,Cleared dust accumulation,Urgent Repair
708,2025-01-17 15:03:02,183,2,280,Adjusted alignment,Upgrade
596,2024-10-16 07:13:25,1208,7,159,Cleared dust accumulation,Inspection
407,2024-09-22 05:46:49,1420,6,184,Lubricated moving parts,Replacement
720,2024-09-19 12:58:52,1279,3,139,Adjusted alignment,Maintenance
608,2024-07-09 17:36:07,369,9,39,Minor fix only,Replacement
474,2024-09-30 11:42:27,412,3,389,Cleared dust accumulation,Upgrade
628,2024-07-20 20:51:18,577,7,312,Adjusted alignment,Upgrade
764,2024-08-11 23:42:54,724,5,34,Upgraded firmware,Maintenance
650,2024-11-05 11:34:16,322,8,313,Minor fix only,Upgrade
635,2024-08-18 07:38:12,280,8,350,Upgraded firmware,Upgrade
601,2024-10-26 09:18:42,359,6,63,Minor fix only,Maintenance
635,2025-02-08 15:13:02,834,9,327,Upgraded firmware,Inspection
707,2024-10-26 16:09:50,330,7,92,Performed routine checkup,Maintenance
624,2024-10-31 08:06:35,537,3,75,Upgraded firmware,Maintenance
753,2024-08-28 02:08:12,1124,5,396,Ordered replacement parts,Maintenance
599,2025-01-13 06:46:01,683,10,321,Lubricated moving parts,Urgent Repair
692,2024-10-08 04:24:41,357,3,161,Detailed inspection completed,Replacement
442,2025-02-12 23:57:54,594,3,242,Cleared dust accumulation,Upgrade
790,2024-04-10 13:34:02,1231,1,166,Replaced faulty part,Urgent Repair
547,2025-03-05 22:24:11,377,5,214,Performed routine checkup,Inspection
450,2024-10-16 18:52:32,630,9,240,Detailed inspection completed,Upgrade
517,2024-11-04 07:46:32,384,8,280,Found worn cable,Replacement
516,2025-03-16 15:36:47,836,8,322,Replaced faulty part,Urgent Repair
615,2025-04-02 16:38:04,465,6,208,Lubricated moving parts,Replacement
530,2024-10-11 13:27:38,1119,6,26,Cleared dust accumulation,Inspection
761,2025-03-30 13:27:51,1044,1,216,Ordered replacement parts,Replacement
540,2024-12-04 10:16:33,36,10,308,Lubricated moving parts,Maintenance
429,2025-03-09 14:35:08,229,2,134,Upgraded firmware,Urgent Repair
795,2025-01-27 17:45:05,1340,8,398,Lubricated moving parts,Inspection
668,2025-02-26 02:41:36,1340,8,398,Detailed inspection completed,Urgent Repair
778,2024-05-30 11:25:19,295,5,328,Upgraded firmware,Upgrade
636,2024-09-09 00:41:35,357,3,161,Performed routine checkup,Maintenance
537,2025-02-04 12:10:49,634,8,228,Cleared dust accumulation,Maintenance
757,2025-01-25 00:29:32,932,8,204,Adjusted alignment,Replacement
527,2024-08-17 23:46:13,604,5,387,Detailed inspection completed,Upgrade
418,2024-10-03 02:42:55,1400,7,247,Performed routine checkup,Upgrade
592,2024-12-21 18:03:04,1011,10,315,Found worn cable,Replacement
646,2025-03-12 13:41:08,294,5,301,Cleared dust accumulation,Inspection
456,2024-10-08 09:52:03,158,3,211,Upgraded firmware,Inspection
704,2025-03-31 11:15:48,53,2,209,Minor fix only,Urgent Repair
461,2024-07-08 00:36:06,1318,6,153,Upgraded firmware,Urgent Repair
536,2024-08-26 21:28:20,864,8,283,Ordered replacement parts,Inspection
616,2024-12-11 01:34:53,1217,5,47,Replaced faulty part,Upgrade
565,2024-12-24 14:51:10,941,9,243,Minor fix only,Urgent Repair
686,2025-03-10 03:03:38,1288,7,399,Upgraded firmware,Maintenance
646,2024-04-17 17:06:30,493,3,206,Performed routine checkup,Maintenance
454,2024-10-20 10:11:46,19,8,194,Ordered replacement parts,Urgent Repair
767,2024-04-15 00:40:37,714,1,7,Minor fix only,Urgent Repair
577,2024-08-20 16:02:51,1149,6,330,Replaced faulty part,Inspection
699,2024-10-21 04:54:00,106,9,177,Cleared dust accumulation,Upgrade
746,2024-12-07 01:54:29,840,10,41,Performed routine checkup,Inspection
468,2025-03-16 23:45:18,564,2,188,Detailed inspection completed,Upgrade
748,2024-10-14 20:05:40,1140,9,189,Detailed inspection completed,Urgent Repair
781,2024-10-13 07:04:15,513,6,78,Ordered replacement parts,Maintenance
757,2025-03-10 08:12:30,1120,6,26,Minor fix only,Replacement
727,2024-05-20 00:25:56,85,3,248,Detailed inspection completed,Maintenance
623,2024-10-10 03:25:49,1404,5,136,Adjusted alignment,Upgrade
581,2024-12-24 01:40:53,160,1,212,Cleared dust accumulation,Upgrade
698,2024-12-21 18:54:52,815,8,328,Cleared dust accumulation,Maintenance
798,2024-07-19 13:39:06,1290,5,394,Cleared dust accumulation,Replacement
403,2024-08-19 16:15:41,449,7,347,Upgraded firmware,Replacement
556,2024-10-21 03:28:52,405,2,361,Found worn cable,Maintenance
671,2024-10-30 15:43:28,1026,5,61,Cleared dust accumulation,Inspection
443,2025-01-18 13:38:46,1115,9,196,Minor fix only,Maintenance
626,2024-06-19 12:40:14,338,6,311,Adjusted alignment,Inspection
736,2025-01-22 11:33:16,1040,10,131,Performed routine checkup,Urgent Repair
523,2024-04-16 09:59:05,458,2,48,Detailed inspection completed,Urgent Repair
483,2024-06-25 00:21:30,408,2,39,Cleared dust accumulation,Urgent Repair
490,2024-12-01 18:14:14,256,4,177,Minor fix only,Maintenance
736,2024-08-26 07:22:35,772,2,321,Detailed inspection completed,Replacement
530,2024-11-07 17:37:08,1370,9,262,Found worn cable,Urgent Repair
660,2024-11-18 17:40:33,1250,9,10,Adjusted alignment,Upgrade
484,2024-08-06 21:46:55,707,1,29,Adjusted alignment,Inspection
473,2024-11-11 11:32:32,799,2,377,Minor fix only,Inspection
488,2024-04-11 01:21:07,802,4,188,Minor fix only,Maintenance
436,2024-05-08 23:27:43,1274,5,164,Ordered replacement parts,Inspection
686,2024-06-23 14:08:53,519,7,186,Replaced faulty part,Maintenance
723,2024-05-11 15:43:01,236,8,195,Found worn cable,Replacement
769,2024-12-16 04:23:39,1335,9,175,Cleared dust accumulation,Replacement
640,2024-09-01 03:41:35,651,3,272,Minor fix only,Replacement
766,2024-05-19 21:24:01,151,5,392,Ordered replacement parts,Maintenance
480,2025-02-27 02:15:11,922,7,77,Ordered replacement parts,Replacement
510,2024-09-26 03:27:16,495,10,70,Upgraded firmware,Urgent Repair
558,2024-09-03 11:35:12,609,5,41,Upgraded firmware,Urgent Repair
578,2024-10-19 08:02:11,268,3,17,Minor fix only,Replacement
588,2024-09-13 20:23:24,756,1,251,Minor fix only,Replacement
604,2025-03-09 14:07:04,587,10,312,Replaced faulty part,Maintenance
583,2024-11-28 19:56:42,598,1,197,Detailed inspection completed,Replacement
768,2025-01-08 16:05:31,1198,2,185,Detailed inspection completed,Maintenance
670,2024-07-19 08:23:27,1483,4,123,Adjusted alignment,Maintenance
675,2025-02-27 01:56:04,643,1,210,Replaced faulty part,Upgrade
766,2024-11-19 09:53:04,418,3,287,Minor fix only,Maintenance
524,2025-04-02 14:49:52,654,9,72,Ordered replacement parts,Inspection
635,2024-12-10 21:23:04,524,8,155,Cleared dust accumulation,Maintenance
478,2024-12-17 14:02:24,1063,5,374,Lubricated moving parts,Inspection
732,2024-04-15 21:44:43,867,6,387,Minor fix only,Maintenance
572,2024-09-16 18:12:36,420,3,287,Detailed inspection completed,Replacement
558,2024-09-28 19:33:00,534,5,312,Cleared dust accumulation,Maintenance
613,2024-10-17 13:31:16,466,5,189,Performed routine checkup,Replacement
442,2024-12-22 05:18:24,519,7,186,Adjusted alignment,Replacement
787,2024-10-16 08:22:50,20,8,194,Ordered replacement parts,Urgent Repair
569,2024-12-18 12:27:25,1410,9,224,Lubricated moving parts,Inspection
781,2025-04-01 06:44:25,345,5,299,Detailed inspection completed,Upgrade
748,2024-09-05 12:00:00,416,8,6,Lubricated moving parts,Urgent Repair
551,2025-01-14 02:42:14,710,1,224,Upgraded firmware,Upgrade
562,2025-03-17 06:14:14,655,2,132,Lubricated moving parts,Upgrade
415,2024-10-10 09:42:08,722,2,314,Lubricated moving parts,Replacement
569,2024-10-22 15:34:54,1408,8,92,Lubricated moving parts,Maintenance
667,2024-12-09 14:00:30,566,7,43,Performed routine checkup,Replacement
480,2024-08-10 09:01:02,39,2,397,Minor fix only,Upgrade
758,2024-11-30 02:32:26,828,8,30,Upgraded firmware,Replacement
440,2025-03-18 00:35:02,563,2,188,Upgraded firmware,Maintenance
521,2024-04-28 12:35:16,1101,7,51,Upgraded firmware,Replacement
658,2025-03-29 16:11:22,527,8,378,Cleared dust accumulation,Inspection
777,2024-05-15 23:41:47,1350,7,329,Replaced faulty part,Inspection
435,2024-09-29 17:47:13,1241,7,215,Adjusted alignment,Urgent Repair
609,2024-09-10 09:48:20,67,10,391,Minor fix only,Urgent Repair
654,2024-11-05 01:36:21,345,5,299,Replaced faulty part,Maintenance
512,2024-09-16 11:48:24,1283,9,284,Performed routine checkup,Urgent Repair
698,2024-06-09 21:55:29,728,4,53,Detailed inspection completed,Urgent Repair
546,2024-05-27 22:35:19,403,9,90,Upgraded firmware,Maintenance
565,2024-10-27 14:19:47,848,10,395,Performed routine checkup,Replacement
698,2025-01-01 16:24:54,979,5,295,Minor fix only,Replacement
699,2025-03-27 11:15:17,256,4,177,Found worn cable,Replacement
635,2024-06-24 04:51:18,681,10,321,Adjusted alignment,Maintenance
541,2024-07-13 07:22:47,228,2,134,Detailed inspection completed,Urgent Repair
552,2024-05-02 02:02:12,1293,5,381,Ordered replacement parts,Replacement
647,2024-08-05 22:57:58,446,3,171,Replaced faulty part,Inspection
785,2024-06-22 22:27:55,614,9,156,Performed routine checkup,Replacement
434,2025-03-06 09:40:04,114,7,144,Ordered replacement parts,Urgent Repair
620,2024-10-05 12:58:03,1440,2,108,Lubricated moving parts,Urgent Repair
610,2024-07-18 00:41:24,438,7,278,Replaced faulty part,Urgent Repair
730,2024-06-18 08:27:29,628,3,298,Found worn cable,Maintenance
536,2024-08-27 06:59:58,881,7,12,Minor fix only,Urgent Repair
787,2025-02-17 13:13:37,507,10,355,Replaced faulty part,Inspection
579,2024-08-14 03:45:45,1323,8,193,Minor fix only,Maintenance
625,2024-09-22 06:04:55,1136,9,372,Detailed inspection completed,Replacement
754,2025-02-07 07:12:15,1283,9,284,Minor fix only,Inspection
611,2024-08-29 11:48:18,50,5,288,Found worn cable,Urgent Repair
674,2025-03-15 23:24:55,725,5,148,Found worn cable,Replacement
524,2024-12-24 01:58:26,1236,10,347,Ordered replacement parts,Maintenance
422,2024-07-31 06:27:49,1171,8,229,Upgraded firmware,Upgrade
635,2024-12-11 19:48:05,1054,1,178,Upgraded firmware,Upgrade
652,2024-12-11 15:29:42,696,2,168,Detailed inspection completed,Urgent Repair
578,2024-12-18 19:07:02,1065,8,213,Ordered replacement parts,Inspection
426,2025-03-25 20:33:11,1431,4,149,Adjusted alignment,Urgent Repair
688,2024-04-26 13:42:43,36,10,308,Adjusted alignment,Maintenance
501,2025-01-05 01:53:23,326,7,346,Cleared dust accumulation,Replacement
677,2024-04-09 00:14:05,575,7,213,Cleared dust accumulation,Inspection
424,2025-01-05 02:56:52,293,5,301,Minor fix only,Upgrade
680,2025-03-26 12:50:43,365,6,76,Detailed inspection completed,Urgent Repair
734,2024-06-09 13:11:25,431,7,231,Minor fix only,Upgrade
576,2025-02-12 18:13:58,1417,3,399,Replaced faulty part,Upgrade
498,2025-03-29 14:51:45,1350,7,329,Upgraded firmware,Upgrade
722,2024-08-09 10:08:08,159,3,211,Found worn cable,Urgent Repair
508,2024-06-14 03:17:59,525,8,155,Found worn cable,Replacement
799,2025-01-02 01:01:36,568,2,171,Found worn cable,Maintenance
655,2024-04-28 18:09:10,1348,10,12,Detailed inspection completed,Upgrade
525,2025-01-03 15:26:14,1358,1,156,Ordered replacement parts,Urgent Repair
745,2024-09-11 03:52:07,494,3,206,Adjusted alignment,Replacement
763,2025-02-20 14:51:55,323,8,386,Cleared dust accumulation,Inspection
596,2024-10-26 04:07:19,1037,7,327,Lubricated moving parts,Urgent Repair
655,2024-08-11 15:44:12,377,5,214,Cleared dust accumulation,Maintenance
525,2025-03-09 10:11:48,1185,2,178,Found worn cable,Maintenance
543,2024-06-20 13:30:40,196,5,371,Ordered replacement parts,Upgrade
690,2024-08-30 06:17:42,716,6,350,Lubricated moving parts,Urgent Repair
415,2024-11-30 23:11:47,668,8,271,Minor fix only,Upgrade
491,2025-03-24 09:18:20,1320,8,384,Performed routine checkup,Maintenance
665,2024-04-22 08:10:24,1139,9,189,Cleared dust accumulation,Inspection
591,2024-10-24 14:25:42,467,5,189,Adjusted alignment,Maintenance
611,2024-09-12 13:20:28,285,3,246,Adjusted alignment,Urgent Repair
402,2025-01-27 18:42:45,595,5,124,Found worn cable,Replacement
537,2025-01-22 14:02:51,1187,2,186,Ordered replacement parts,Replacement
536,2024-08-19 13:02:53,242,10,246,Lubricated moving parts,Replacement
782,2024-05-29 11:23:26,458,2,48,Ordered replacement parts,Replacement
485,2024-07-15 01:44:31,1124,5,396,Replaced faulty part,Maintenance
485,2025-01-28 20:09:06,375,5,196,Adjusted alignment,Upgrade
762,2024-09-24 13:57:37,379,8,318,Minor fix only,Inspection
677,2024-09-04 16:16:03,1313,10,255,Detailed inspection completed,Maintenance
722,2025-01-04 05:40:48,177,2,51,Adjusted alignment,Maintenance
776,2024-09-27 05:53:05,766,6,55,Adjusted alignment,Replacement
732,2024-12-22 17:04:43,1242,7,215,Found worn cable,Inspection
